"id","created_at","updated_at","pc1","pc2","pc3","pc4","pc5","cluster_id","anomalies","os","device_id","keys","lock","timezone","app_name","customer_name","unlockallowed","unlocksupported","weeks","days","hours","minutes","sysbootreason","device_type","end_time"
"01H96K1MQ3MZECXVZQTVKR1XFH",2023-08-30 11:49:24.000 +0530,2023-08-30 11:49:24.000 +0530,-9.289496075087303,0.7692116278797181,-1.1900443540329952,1.4705730307509468,-0.031415252830718665,"169",false,"0.901.103","2323LZ537EB8",user/release-keys,t,Australia/ACT,default,,false,true,0,5,21,25,reboot,LogiSight,2023-09-01 01:30:00.000 +0530
"01H96K1MVS22CPCT17F3HQSFDQ",2023-08-23 23:43:53.000 +0530,2023-08-23 23:43:53.000 +0530,9.132926735404595,14.15744614502957,1.5266215054308616,-7.592349376953241,-1.3406616403923481,"188",false,"0.901.102","2323LZ535JD8",user/release-keys,t,America/Lima,default,,false,true,0,0,0,1,reboot,LogiSight,2023-09-01 01:30:00.000 +0530
"01H96K1MQDMDMW7G60YR3RB8T7",2023-08-28 11:54:28.000 +0530,2023-08-28 11:54:28.000 +0530,-8.924124152633182,0.6917152630872876,-1.1038720948857867,1.6573512890324218,-0.2969467050180748,"169",false,"0.901.103","2326LZ52DKG8",user/release-keys,t,GMT,default,,false,true,0,0,0,1,reboot,LogiSight,2023-09-01 01:30:00.000 +0530
"01H96K1MPS45H4YJ2AKGSVZ7AA",2023-09-01 01:02:37.000 +0530,2023-09-01 01:02:37.000 +0530,-9.397988163906533,0.9038960162499721,-1.1875163797741544,1.5135831670896842,-0.06158363289780746,"169",false,"0.901.103","2241LZ502AU8",user/release-keys,t,Europe/Belfast,default,,false,true,1,0,11,23,reboot,LogiSight,2023-09-01 01:30:00.000 +0530
"01H96K1HNCPM53ND0CBD3Q3X2S",2023-08-10 18:16:11.000 +0530,2023-08-10 18:16:11.000 +0530,18.76587930746731,0.5838959925508669,-2.849831190470561,0.843393287529133,6.3203492907951775,"146",false,"0.901.96","2323LZ537B88",user/release-keys,t,America/Bogota,default,,false,true,0,0,21,1,cold,LogiSight,2023-09-01 01:30:00.000 +0530
"01H96K1MQGDKHX93QF160Y8FNZ",2023-08-30 11:56:22.000 +0530,2023-08-30 11:56:22.000 +0530,-4.205749277506585,-2.538193753315655,5.392619307552046,-4.826276790251509,-0.7355095695598008,"169",false,"0.901.103","2324LZ50YDG8",user/release-keys,t,Asia/Tokyo,default,,false,true,0,1,0,1,kernel_panic,LogiSight,2023-09-01 01:30:00.000 +0530
"01H96K1MQ26KBWC7XNCXYDKA4N",2023-09-01 00:17:01.000 +0530,2023-09-01 00:17:01.000 +0530,-9.778455206758613,0.9255357601887485,-1.41104868654451,1.5771812919445196,-0.32536819784548293,"169",false,"0.901.103","2241LZ5028P8",user/release-keys,t,America/Los_Angeles,default,,false,true,0,3,1,56,reboot,LogiSight,2023-09-01 01:30:00.000 +0530
"01H96K1N9TGV27H47W3GZ1XT6X",2023-08-15 12:04:27.000 +0530,2023-08-15 12:04:27.000 +0530,-10.449991043813657,-0.7177702324861507,-1.0457091532645804,-6.214449665583657,-2.55953673400475,"194",false,"0.901.100","2322LZ53UNY8",userdebug/release-keys,t,America/Los_Angeles,default,,false,true,0,2,0,37,cold,LogiSight,2023-09-01 01:30:00.000 +0530
"01H96K1N9Y8T0TQT3XKRZGM05G",2023-08-26 08:52:26.000 +0530,2023-08-26 08:52:26.000 +0530,1.8194780332171776,-10.401659338507038,-4.464854783897592,2.9530312953863525,0.3735214307530134,"193",false,"0.901.100","2323LZ517378",user/release-keys,t,Europe/Berlin,default,,false,true,0,3,14,18,reboot,LogiSight,2023-09-01 01:30:00.000 +0530
"01H96K1MPFMA7K81CP7W26ZMK7",2023-09-01 00:57:20.000 +0530,2023-09-01 00:57:20.000 +0530,-9.419630880407537,0.6445387747839788,-1.2987377855841278,1.5224591696715855,-0.3338481686506204,"169",false,"0.901.103","2241LZ5029V8",userdebug/release-keys,t,America/Los_Angeles,default,,false,true,0,2,21,3,cold,LogiSight,2023-09-01 01:30:00.000 +0530
