"id","created_at","updated_at","device_id","bugreport","end_time","status","os","device_type","number_meetings","sum_meetings","has_error","error","comment","ecs_arn"
"01H96DW9E9T11EPP2GW72A6RRZ",2023-09-01 00:02:22.000 +0530,2023-09-01 00:17:05.000 +0530,"2323LZ535JL8",bugreports/2323LZ535JL8/debugarchive/2023-08-31/2023-08-31T18:31:59.546Z,2023-09-01 00:02:00.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/f0567b54a3144b779068752da60eb1ce
"01H96E63GR1HHNSS0R6C7GQ999",2023-09-01 00:07:43.000 +0530,2023-09-01 00:17:01.000 +0530,"2241LZ5028P8",bugreports/2241LZ5028P8/debugarchive/2023-08-31/2023-08-31T18:37:27.531Z,2023-09-01 00:07:28.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/c373b40c89964210ab39868f2c0a655f
"01H96E6PWFTXNQ5A6TYDGSKSNE",2023-09-01 00:08:03.000 +0530,2023-09-01 00:17:06.000 +0530,"2323LZ535K68",bugreports/2323LZ535K68/debugarchive/2023-08-31/2023-08-31T18:37:28.116Z,2023-09-01 00:07:28.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/ab8c4916ac294ea09ed847b1ec2baf2c
"01H96EB125ETW8EJ2DNS9SXFC0",2023-09-01 00:10:25.000 +0530,2023-09-01 00:19:33.000 +0530,"2241LZ502D08",bugreports/2241LZ502D08/debugarchive/2023-08-31/2023-08-31T18:39:49.230Z,2023-09-01 00:09:49.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/a2bf03d1bcad4b9693f21e226c395d51
"01H96FBM8P8HA2QD07DM6ARRQC",2023-09-01 00:28:13.000 +0530,2023-09-01 00:35:12.000 +0530,"2323LZ535K18",bugreports/2323LZ535K18/debugarchive/2023-08-31/2023-08-31T18:57:46.503Z,2023-09-01 00:27:47.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/fbad6e2d80614a8db8a93db0a5f95a20
"01H96FMF1D5H3PVXFDZV3TKBK9",2023-09-01 00:33:02.000 +0530,2023-09-01 00:50:03.000 +0530,"2323LZ50B918",bugreports/2323LZ50B918/debugarchive/2023-08-31/2023-08-31T19:02:45.461Z,2023-09-01 00:32:45.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/7f18c409128245c4a622999885b1a2a8
"01H96FP51CS1QKQ62T0DTWYJZZ",2023-09-01 00:33:58.000 +0530,2023-09-01 00:49:10.000 +0530,"2324LZ51P0V8",bugreports/2324LZ51P0V8/debugarchive/2023-08-31/2023-08-31T19:03:41.162Z,2023-09-01 00:33:41.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/8356e3bca1bb41d19825c0971ce6c8a3
"01H96GAQXHAXWWZ4Y61GPTR50W",2023-09-01 00:45:12.000 +0530,2023-09-01 00:59:55.000 +0530,"2241LZ502CQ8",bugreports/2241LZ502CQ8/debugarchive/2023-08-31/2023-08-31T19:14:45.488Z,2023-09-01 00:44:45.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/7de84bac5e0441cfb0bd848f9dc2ac6e
"01H96GBGCHVEGHE2P6BPQS6V22",2023-09-01 00:45:37.000 +0530,2023-09-01 00:57:20.000 +0530,"2241LZ5029V8",bugreports/2241LZ5029V8/debugarchive/2023-08-31/2023-08-31T19:15:24.734Z,2023-09-01 00:45:25.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/d93411a6816a499eb419e96d96a05902
"01H96GF3AXWZVB4038H8FB60YW",2023-09-01 00:47:35.000 +0530,2023-09-01 00:55:07.000 +0530,"2326LZ517618",bugreports/2326LZ517618/debugarchive/2023-08-31/2023-08-31T19:17:12.467Z,2023-09-01 00:47:12.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/2efd36e466f94ee580257fdde5554543
